Key,EN,ES,DE,FR,IT,PT
compatibilityChallenge2,YES,YES,YES,YES,YES,YES
compatibilityChallenge3,YES,YES,YES,YES,YES,YES
compatibilityChallenge4,YES,YES,YES,YES,YES,YES
compatibilityExcellent,YES,YES,YES,YES,YES,YES
compatibilityGood,YES,YES,YES,YES,YES,YES
compatibilityLow,YES,YES,YES,YES,YES,YES
compatibilityPremiumBonus,YES,YES,YES,YES,YES,YES
compatibilityRegular,YES,YES,YES,YES,YES,YES
compatibilityReportFor,YES,YES,YES,YES,YES,YES
compatibilityScore,YES,YES,YES,YES,YES,YES
compatibilityStrength1,YES,YES,YES,YES,YES,YES
compatibilityStrength2,YES,YES,YES,YES,YES,YES
compatibilityStrength3,YES,YES,YES,YES,YES,YES
compatibilityStrength4,YES,YES,YES,YES,YES,YES
compatibilityTimelineEvolution,YES,YES,YES,YES,YES,YES
compatibility_advice_build_trust,YES,YES,YES,YES,YES,YES
compatibility_advice_celebrate_passion,YES,YES,YES,YES,YES,YES
compatibility_advice_create_stability,YES,YES,YES,YES,YES,YES
compatibility_advice_cultivate_empathy,YES,YES,YES,YES,YES,YES
compatibility_advice_embrace_differences,YES,YES,YES,YES,YES,YES
compatibility_advice_find_middle_ground,YES,YES,YES,YES,YES,YES
compatibility_advice_honor_independence,YES,YES,YES,YES,YES,YES
compatibility_advice_patience_understanding,YES,YES,YES,YES,YES,YES
compatibility_advice_respect_timing,YES,YES,YES,YES,YES,YES
compatibility_advice_support_ambitions,YES,YES,YES,YES,YES,YES
compatibility_analysis_premium,YES,YES,YES,YES,YES,YES
compatibility_aries_aquarius_strength,YES,YES,YES,YES,YES,YES
compatibility_aries_aries_strength,YES,YES,YES,YES,YES,YES
compatibility_aries_cancer_strength,YES,YES,YES,YES,YES,YES
compatibility_aries_capricorn_strength,YES,YES,YES,YES,YES,YES
compatibility_aries_gemini_strength,YES,YES,YES,YES,YES,YES
compatibility_aries_leo_strength,YES,YES,YES,YES,YES,YES
compatibility_aries_libra_strength,YES,YES,YES,YES,YES,YES
compatibility_aries_pisces_strength,YES,YES,YES,YES,YES,YES
compatibility_aries_sagittarius_strength,YES,YES,YES,YES,YES,YES
compatibility_aries_scorpio_strength,YES,YES,YES,YES,YES,YES
compatibility_aries_taurus_strength,YES,YES,YES,YES,YES,YES
compatibility_aries_virgo_strength,YES,YES,YES,YES,YES,YES
compatibility_aspect_conjunction,YES,YES,YES,YES,YES,YES
compatibility_aspect_opposition,YES,YES,YES,YES,YES,YES
compatibility_aspect_quincunx,YES,YES,YES,YES,YES,YES
compatibility_aspect_semisextile,YES,YES,YES,YES,YES,YES
compatibility_aspect_sextile,YES,YES,YES,YES,YES,YES
compatibility_aspect_square,YES,YES,YES,YES,YES,YES
compatibility_aspect_trine,YES,YES,YES,YES,YES,YES
compatibility_challenge_adjust_expectations,YES,YES,YES,YES,YES,YES
compatibility_challenge_clashing_rhythms,YES,YES,YES,YES,YES,YES
compatibility_challenge_conflict_management,YES,YES,YES,YES,YES,YES
compatibility_challenge_decision_indecision,YES,YES,YES,YES,YES,YES
compatibility_challenge_different_approaches,YES,YES,YES,YES,YES,YES
compatibility_challenge_different_expectations,YES,YES,YES,YES,YES,YES
compatibility_challenge_ego_conflicts,YES,YES,YES,YES,YES,YES
compatibility_challenge_emotional_detachment,YES,YES,YES,YES,YES,YES
compatibility_challenge_emotional_sensitivity,YES,YES,YES,YES,YES,YES
compatibility_challenge_freedom_commitment,YES,YES,YES,YES,YES,YES
compatibility_challenge_fundamental_differences,YES,YES,YES,YES,YES,YES
compatibility_challenge_impulsive_decisions,YES,YES,YES,YES,YES,YES
compatibility_challenge_inconsistent_moods,YES,YES,YES,YES,YES,YES
compatibility_challenge_jealousy_possessiveness,YES,YES,YES,YES,YES,YES
compatibility_challenge_need_mutual_understanding,YES,YES,YES,YES,YES,YES
compatibility_challenge_perfectionist_critique,YES,YES,YES,YES,YES,YES
compatibility_challenge_personality_clashes,YES,YES,YES,YES,YES,YES
compatibility_challenge_practical_dreams,YES,YES,YES,YES,YES,YES
compatibility_challenge_priority_differences,YES,YES,YES,YES,YES,YES
compatibility_challenge_push_and_pull,YES,YES,YES,YES,YES,YES
compatibility_challenge_stubborn_tendencies,YES,YES,YES,YES,YES,YES
compatibility_challenge_work_life_balance,YES,YES,YES,YES,YES,YES
compatibility_challenging_conscious_work,YES,YES,YES,YES,YES,YES
compatibility_challenging_relationship,YES,YES,YES,YES,YES,YES
compatibility_challenging_style_patience,YES,YES,YES,YES,YES,YES
compatibility_complex_growth_potential,YES,YES,YES,YES,YES,YES
compatibility_date_active_class_dance_box,YES,YES,YES,YES,YES,YES
compatibility_date_classic_with_personal_twist,YES,YES,YES,YES,YES,YES
compatibility_date_cooking_together_movie,YES,YES,YES,YES,YES,YES
compatibility_date_cooperation_activity_escape_room,YES,YES,YES,YES,YES,YES
compatibility_date_diy_project_defined_roles,YES,YES,YES,YES,YES,YES
compatibility_date_hiking_adrenaline,YES,YES,YES,YES,YES,YES
compatibility_date_intimate_dinner_home,YES,YES,YES,YES,YES,YES
compatibility_date_museum_art_intimate_chat,YES,YES,YES,YES,YES,YES
compatibility_date_restaurant_atmosphere_financial_plan,YES,YES,YES,YES,YES,YES
compatibility_date_spa_nature_day,YES,YES,YES,YES,YES,YES
compatibility_date_urban_event_after,YES,YES,YES,YES,YES,YES
compatibility_element_air,YES,YES,YES,YES,YES,YES
compatibility_element_earth,YES,YES,YES,YES,YES,YES
compatibility_element_fire,YES,YES,YES,YES,YES,YES
compatibility_element_water,YES,YES,YES,YES,YES,YES
compatibility_elevated_chemistry,YES,YES,YES,YES,YES,YES
compatibility_exceptional_natural_harmony,YES,YES,YES,YES,YES,YES
compatibility_gemini_aquarius_strength,YES,YES,YES,YES,YES,YES
compatibility_gemini_cancer_strength,YES,YES,YES,YES,YES,YES
compatibility_gemini_capricorn_strength,YES,YES,YES,YES,YES,YES
compatibility_gemini_gemini_strength,YES,YES,YES,YES,YES,YES
compatibility_gemini_leo_strength,YES,YES,YES,YES,YES,YES
compatibility_gemini_libra_strength,YES,YES,YES,YES,YES,YES
compatibility_gemini_pisces_strength,YES,YES,YES,YES,YES,YES
compatibility_gemini_sagittarius_strength,YES,YES,YES,YES,YES,YES
compatibility_gemini_scorpio_strength,YES,YES,YES,YES,YES,YES
compatibility_gemini_virgo_strength,YES,YES,YES,YES,YES,YES
compatibility_harmonious_flow,YES,YES,YES,YES,YES,YES
compatibility_high_affinity_elemental_resonance,YES,YES,YES,YES,YES,YES
compatibility_hook_challenge_that_transforms,YES,YES,YES,YES,YES,YES
compatibility_hook_chemistry_you_feel,YES,YES,YES,YES,YES,YES
compatibility_hook_complements_that_add,YES,YES,YES,YES,YES,YES
compatibility_hook_creative_friction,YES,YES,YES,YES,YES,YES
compatibility_hook_effortless_flow,YES,YES,YES,YES,YES,YES
compatibility_hook_instant_magnetism,YES,YES,YES,YES,YES,YES
compatibility_hook_negotiate_to_grow,YES,YES,YES,YES,YES,YES
compatibility_hook_shared_rhythm,YES,YES,YES,YES,YES,YES
compatibility_hook_spark_and_clash,YES,YES,YES,YES,YES,YES
compatibility_intense_magnetic_connection,YES,YES,YES,YES,YES,YES
compatibility_interesting_complement_duplicated_energy,YES,YES,YES,YES,YES,YES
compatibility_modality_cardinal,YES,YES,YES,YES,YES,YES
compatibility_modality_fixed,YES,YES,YES,YES,YES,YES
compatibility_modality_mutable,YES,YES,YES,YES,YES,YES
compatibility_perfect_balance,YES,YES,YES,YES,YES,YES
compatibility_sign_aquarius,YES,YES,YES,YES,YES,YES
compatibility_sign_aries,YES,YES,YES,YES,YES,YES
compatibility_sign_cancer,YES,YES,YES,YES,YES,YES
compatibility_sign_capricorn,YES,YES,YES,YES,YES,YES
compatibility_sign_gemini,YES,YES,YES,YES,YES,YES
compatibility_sign_leo,YES,YES,YES,YES,YES,YES
compatibility_sign_libra,YES,YES,YES,YES,YES,YES
compatibility_sign_pisces,YES,YES,YES,YES,YES,YES
compatibility_sign_sagittarius,YES,YES,YES,YES,YES,YES
compatibility_sign_scorpio,YES,YES,YES,YES,YES,YES
compatibility_sign_taurus,YES,YES,YES,YES,YES,YES
compatibility_sign_virgo,YES,YES,YES,YES,YES,YES
compatibility_strength_360_perspective,YES,YES,YES,YES,YES,YES
compatibility_strength_adventurous_spirit,YES,YES,YES,YES,YES,YES
compatibility_strength_ambitious_goals,YES,YES,YES,YES,YES,YES
compatibility_strength_common_language,YES,YES,YES,YES,YES,YES
compatibility_strength_complementary_potential,YES,YES,YES,YES,YES,YES
compatibility_strength_creative_confidence,YES,YES,YES,YES,YES,YES
compatibility_strength_dynamic_adventure,YES,YES,YES,YES,YES,YES
compatibility_strength_emotional_support,YES,YES,YES,YES,YES,YES
compatibility_strength_fun_and_movement,YES,YES,YES,YES,YES,YES
compatibility_strength_harmonious_balance,YES,YES,YES,YES,YES,YES
compatibility_strength_initiative_and_vision,YES,YES,YES,YES,YES,YES
compatibility_strength_innovative_vision,YES,YES,YES,YES,YES,YES
compatibility_strength_intellectual_stimulation,YES,YES,YES,YES,YES,YES
compatibility_strength_intuitive_empathy,YES,YES,YES,YES,YES,YES
compatibility_strength_magnetic_chemistry,YES,YES,YES,YES,YES,YES
compatibility_strength_natural_flow,YES,YES,YES,YES,YES,YES
compatibility_strength_nurturing_protection,YES,YES,YES,YES,YES,YES
compatibility_strength_passionate_intensity,YES,YES,YES,YES,YES,YES
compatibility_strength_practical_reliability,YES,YES,YES,YES,YES,YES
compatibility_strength_project_and_care,YES,YES,YES,YES,YES,YES
compatibility_strength_similar_values,YES,YES,YES,YES,YES,YES
compatibility_strong_affinity,YES,YES,YES,YES,YES,YES
compatibility_summary_air_air,YES,YES,YES,YES,YES,YES
compatibility_summary_air_water,YES,YES,YES,YES,YES,YES
compatibility_summary_earth_air,YES,YES,YES,YES,YES,YES
compatibility_summary_earth_earth,YES,YES,YES,YES,YES,YES
compatibility_summary_earth_water,YES,YES,YES,YES,YES,YES
compatibility_summary_fire_air,YES,YES,YES,YES,YES,YES
compatibility_summary_fire_earth,YES,YES,YES,YES,YES,YES
compatibility_summary_fire_fire,YES,YES,YES,YES,YES,YES
compatibility_summary_fire_water,YES,YES,YES,YES,YES,YES
compatibility_summary_water_water,YES,YES,YES,YES,YES,YES
compatibility_taurus_aquarius_strength,YES,YES,YES,YES,YES,YES
compatibility_taurus_cancer_strength,YES,YES,YES,YES,YES,YES
compatibility_taurus_capricorn_strength,YES,YES,YES,YES,YES,YES
compatibility_taurus_gemini_strength,YES,YES,YES,YES,YES,YES
compatibility_taurus_leo_strength,YES,YES,YES,YES,YES,YES
compatibility_taurus_libra_strength,YES,YES,YES,YES,YES,YES
compatibility_taurus_pisces_strength,YES,YES,YES,YES,YES,YES
compatibility_taurus_sagittarius_strength,YES,YES,YES,YES,YES,YES
compatibility_taurus_scorpio_strength,YES,YES,YES,YES,YES,YES
compatibility_taurus_taurus_strength,YES,YES,YES,YES,YES,YES
compatibility_taurus_virgo_strength,YES,YES,YES,YES,YES,YES
compatibility_tip_accept_differences,YES,YES,YES,YES,YES,YES
compatibility_tip_channel_energy_shared_goals,YES,YES,YES,YES,YES,YES
compatibility_tip_conscious_commitment,YES,YES,YES,YES,YES,YES
compatibility_tip_define_discussion_reconciliation_rules,YES,YES,YES,YES,YES,YES
compatibility_tip_establish_clear_roles_times,YES,YES,YES,YES,YES,YES
compatibility_tip_extra_conscious_communication,YES,YES,YES,YES,YES,YES
compatibility_tip_find_common_ground,YES,YES,YES,YES,YES,YES
compatibility_tip_make_decisions_explicit,YES,YES,YES,YES,YES,YES
compatibility_tip_mutual_patience,YES,YES,YES,YES,YES,YES
compatibility_tip_practical_agreements_and_calendar,YES,YES,YES,YES,YES,YES
compatibility_tip_value_differences,YES,YES,YES,YES,YES,YES
compatibility_tip_weekly_emotional_checkins,YES,YES,YES,YES,YES,YES
compatibility_unique_dynamics,YES,YES,YES,YES,YES,YES
completeAccessToAdvancedInsights,YES,YES,YES,YES,YES,YES
completeProfile,YES,YES,YES,YES,YES,YES
completed,YES,YES,YES,YES,YES,YES
confiado,YES,YES,YES,YES,YES,YES
configurationRequired,YES,YES,YES,YES,YES,YES
configureBirthDate,YES,YES,YES,YES,YES,YES
configureDateAndTime,YES,YES,YES,YES,YES,YES
configuredForBirthDate,YES,YES,YES,YES,YES,YES
confirm,YES,YES,YES,YES,YES,YES
confirmPassword,YES,YES,YES,YES,YES,YES
confirmSelection,YES,YES,YES,YES,YES,YES
connected,YES,YES,YES,YES,YES,YES
connectionLost,YES,YES,YES,YES,YES,YES
considerExploringNewChallenges,YES,YES,YES,YES,YES,YES
considerReviewingSleepHabits,YES,YES,YES,YES,YES,YES
considerStressManagement,YES,YES,YES,YES,YES,YES
consultingStars,YES,YES,YES,YES,YES,YES
contactSupport,YES,YES,YES,YES,YES,YES
contactUs,YES,YES,YES,YES,YES,YES
continueButton,YES,YES,YES,YES,YES,YES
continueCheckIns,YES,YES,YES,YES,YES,YES
continueCheckInsForEvolution,YES,YES,YES,YES,YES,YES
continueTrackingPatterns,YES,YES,YES,YES,YES,YES
contrast,YES,YES,YES,YES,YES,YES
correctNow,YES,YES,YES,YES,YES,YES
cosmicAIState,YES,YES,YES,YES,YES,YES
cosmicAdvice,YES,YES,YES,YES,YES,YES
cosmicAiStatus,YES,YES,YES,YES,YES,YES
cosmicChime,YES,YES,YES,YES,YES,YES
cosmicCoachPremiumDesc,YES,YES,YES,YES,YES,YES
cosmicConsistency,YES,YES,YES,YES,YES,YES
cosmicLifeCoach,YES,YES,YES,YES,YES,YES
cosmicMastery,YES,YES,YES,YES,YES,YES
cosmicTier,YES,YES,YES,YES,YES,YES
createAStrongPassword,YES,YES,YES,YES,YES,YES
createAccountToSync,YES,YES,YES,YES,YES,YES
createItem,YES,YES,YES,YES,YES,YES
createPrediction,YES,YES,YES,YES,YES,YES
creativity,YES,YES,YES,YES,YES,YES
creativity_Leo,YES,YES,YES,YES,YES,YES
creativity_Pisces,YES,YES,YES,YES,YES,YES
credits,YES,YES,YES,YES,YES,YES
csvExportFeatureComingSoon,YES,YES,YES,YES,YES,YES
currentLifeStage,YES,YES,YES,YES,YES,YES
current_streak_label,YES,YES,YES,YES,YES,YES
custom,YES,YES,YES,YES,YES,YES
customColors,YES,YES,YES,YES,YES,YES
customRecommendations,YES,YES,YES,YES,YES,YES
customTheme,YES,YES,YES,YES,YES,YES
customizeYourSign,YES,YES,YES,YES,YES,YES
daily,YES,YES,YES,YES,YES,YES
dailyCosmicAdvice,YES,YES,YES,YES,YES,YES
dailyCosmicCheckIn,YES,YES,YES,YES,YES,YES
dailyCosmicMessage,YES,YES,YES,YES,YES,YES
dailyHoroscope,YES,YES,YES,YES,YES,YES
dailyHoroscopeNotification,YES,YES,YES,YES,YES,YES
darkMode,YES,YES,YES,YES,YES,YES
darkTheme,YES,YES,YES,YES,YES,YES
dataAndPrivacy,YES,YES,YES,YES,YES,YES
dataDeletedSuccessfully,YES,YES,YES,YES,YES,YES
dataExportWillBeImplementedHere,YES,YES,YES,YES,YES,YES
dataExported,YES,YES,YES,YES,YES,YES
dataExportedSuccessfully,YES,YES,YES,YES,YES,YES
dataStored,YES,YES,YES,YES,YES,YES
dataSync,YES,YES,YES,YES,YES,YES
dataWeCollect,YES,YES,YES,YES,YES,YES
dateConfigured,YES,YES,YES,YES,YES,YES
dateNotSelected,YES,YES,YES,YES,YES,YES
dates,YES,YES,YES,YES,YES,YES
days,YES,YES,YES,YES,YES,YES
daysRemaining,YES,YES,YES,YES,YES,YES
december,YES,YES,YES,YES,YES,YES
decline,YES,YES,YES,YES,YES,YES
deepPatternAnalysis,YES,YES,YES,YES,YES,YES
deepPatternAnalysisText,YES,YES,YES,YES,YES,YES
defaultColors,YES,YES,YES,YES,YES,YES
defaultCosmicAdvice,YES,YES,YES,YES,YES,YES
defaultNotificationBody,YES,YES,YES,YES,YES,YES
defaults,YES,YES,YES,YES,YES,YES
deleteAccount,YES,YES,YES,YES,YES,YES
deleteAll,YES,YES,YES,YES,YES,YES
deleteAllData,YES,YES,YES,YES,YES,YES
deleteItem,YES,YES,YES,YES,YES,YES
deleteItemLocalConfiguration,YES,YES,YES,YES,YES,YES
deleteLocalConfiguration,YES,YES,YES,YES,YES,YES
deleteWarning,YES,YES,YES,YES,YES,YES
describe,YES,YES,YES,YES,YES,YES
describeWhatActuallyHappened,YES,YES,YES,YES,YES,YES
description,YES,YES,YES,YES,YES,YES
descriptionNotAvailable,YES,YES,YES,YES,YES,YES
deselect,YES,YES,YES,YES,YES,YES
detailedAnalysis,YES,YES,YES,YES,YES,YES
detailedAnalytics,YES,YES,YES,YES,YES,YES
detailedDailyHoroscopes,YES,YES,YES,YES,YES,YES
detailedHoroscope,YES,YES,YES,YES,YES,YES
