pair_id,sign_a,sign_b,level,overall,chemistry,emotional,communication,values,stability
capricornio_sagitario,capricornio,sagitario,R,59,59,63,63,62,63
capricornio_capricornio,capricornio,capricornio,M,83,83,87,81,86,87
capricornio_acuario,capricornio,acuario,R,61,61,65,65,64,65
capricornio_piscis,capricornio,piscis,A,91,93,96,90,94,95
acuario_aries,acuario,aries,A,86,88,85,91,86,86
acuario_tauro,acuario,tauro,R,62,58,66,66,62,62
acuario_geminis,acuario,géminis,A,91,95,91,97,93,93
acuario_cancer,acuario,cáncer,R,57,57,61,61,60,57
acuario_leo,acuario,leo,M,81,95,77,85,81,79
acuario_virgo,acuario,virgo,R,56,56,60,60,59,60
acuario_libra,acuario,libra,A,93,97,93,99,95,95
acuario_escorpio,acuario,escorpio,R,55,51,59,59,55,51
acuario_sagitario,acuario,sagitario,A,89,91,88,94,89,89
acuario_capricornio,acuario,capricornio,R,67,67,71,71,70,71
acuario_acuario,acuario,acuario,M,76,76,74,80,76,76
acuario_piscis,acuario,piscis,R,57,57,61,61,60,57
piscis_aries,piscis,aries,R,66,66,70,70,69,66
piscis_tauro,piscis,tauro,A,89,91,94,88,92,93
piscis_geminis,piscis,géminis,R,61,57,65,65,61,57
piscis_cancer,piscis,cáncer,A,92,96,98,92,97,94
piscis_leo,piscis,leo,R,69,69,73,73,72,69
piscis_virgo,piscis,virgo,M,79,93,81,77,82,81
piscis_libra,piscis,libra,R,56,56,60,60,59,56
piscis_escorpio,piscis,escorpio,A,88,92,94,88,93,90
piscis_sagitario,piscis,sagitario,R,62,58,66,66,62,58
piscis_capricornio,piscis,capricornio,A,92,94,97,91,95,96
piscis_acuario,piscis,acuario,R,63,63,67,67,66,63
piscis_piscis,piscis,piscis,M,76,76,80,74,79,76
